ID,Gene Description,Gene Accession Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,Cluster_assignments
11,AFFX-BioB-3_st (endogenous control),AFFX-BioB-3_st,-0.47424555,-0.645576001,-0.471403779,-0.368135392,-0.572054349,-0.66419749,-0.391242726,-0.351262442,-0.387210492,-0.382141627,-0.416847214,-0.439416959,-0.424818067,-0.40223892,-0.545418684,-0.413689557,-0.431286187,-0.397501285,-0.43846069,-0.321384432,-0.41624665,-0.580265595,-0.503068678,-0.527937885,-0.509284062,-0.415875306,-0.29757972,-0.412217051,-0.440922654,-0.527125348,-0.395257933,-0.768675811,-0.791498122,-0.575299207,1
12,AFFX-BioC-5_st (endogenous control),AFFX-BioC-5_st,-0.486776811,-0.498915258,-0.264052585,-0.41656199,-0.514211613,-0.619794776,-0.313857534,-0.350072548,-0.287025734,-0.403672062,-0.304539847,-0.291281766,-0.40230094,-0.494302878,-0.392101907,-0.500067302,-0.397010572,-0.361765447,-0.387958618,-0.318331039,-0.299674855,-0.418108179,-0.433545325,-0.747327607,-0.43981997,-0.357179674,-0.406573147,-0.25314325,-0.353792327,-0.404671493,-0.317708214,-0.60952247,-0.628748829,-0.467395238,4
13,AFFX-BioC-3_st (endogenous control),AFFX-BioC-3_st,-0.373591231,-0.153090962,-0.295596884,-0.297547469,-0.361195013,-0.326654636,-0.310455987,-0.277885628,-0.327699033,-0.302774536,-0.306658854,-0.263347701,-0.306603151,-0.304963795,-0.363329321,-0.315210582,-0.284569838,-0.299330419,-0.290619946,-0.23894281,-0.227938366,-0.434206131,-0.270386475,-0.329659249,-0.298496473,-0.262774113,-0.278980159,-0.263467752,-0.404044236,-0.325436646,-0.305121611,-0.512262095,-0.371309038,-0.308735046,1
14,AFFX-BioDn-5_st (endogenous control),AFFX-BioDn-5_st,-0.116498271,-0.154826592,-0.24849073,-0.259380744,-0.32099226,-0.111219245,-0.29940096,-0.166432198,-0.271612694,-0.214119806,-0.264702517,-0.196051999,-0.139889809,-0.192489431,-0.333323625,-0.232588391,-0.248204247,-0.004407065,-0.212423189,-0.148867705,-0.15152341,-0.225718024,-0.148620141,-0.228657188,-0.270551149,-0.219265463,-0.143575356,-0.117012787,-0.171426525,-0.132645975,-0.288474812,-0.289608179,-0.190065508,-0.096686829,4
15,AFFX-BioDn-3_st (endogenous control),AFFX-BioDn-3_st,-0.137922684,-0.259832212,-0.286343889,-0.188382426,-0.206947716,-0.12273106,-0.179071238,-0.263210266,-0.199685176,-0.238183233,-0.211303542,-0.175736315,-0.163272979,-0.198134862,-0.141369376,-0.246358756,-0.221034552,-0.105863985,-0.087389833,-0.133600738,-0.150353794,-0.169178877,-0.185993966,-0.134692156,-0.16276204,-0.101053281,-0.156223058,-0.251996084,-0.111043182,-0.205948802,-0.246248787,-0.160597517,-0.126815214,-0.127892506,1
16,AFFX-CreX-5_st (endogenous control),AFFX-CreX-5_st,-0.238172769,-0.299751705,-0.330505909,-0.249120871,-0.34929828,-0.359545535,-0.287495545,-0.30327004,-0.177421897,-0.213275475,-0.2291032,-0.245994721,-0.293612501,-0.308437906,-0.306606224,-0.31062046,-0.301289649,-0.190890634,-0.290619946,-0.242759552,-0.227158622,-0.324661532,-0.266367784,-0.308962105,-0.217854251,-0.266057785,-0.249220862,-0.220257801,-0.306377218,-0.288149659,-0.286850735,-0.3269851,-0.33025183,-0.306103242,1
17,AFFX-CreX-3_st (endogenous control),AFFX-CreX-3_st,-0.279000425,-0.422113626,-0.317047007,-0.33612459,-0.512570684,-0.480008454,-0.308755214,-0.385372744,-0.267759434,-0.29601989,-0.261735907,-0.290858523,-0.39450655,-0.412661255,-0.380181836,-0.444985841,-0.2879138,-0.293990581,-0.31139096,-0.26909507,-0.27589265,-0.404758658,-0.3519659,-0.407480509,-0.437424657,-0.27960293,-0.294975782,-0.239377248,-0.501305997,-0.293657964,-0.299031319,-0.476090882,-0.484493774,-0.361747101,1
18,hum_alu_at (miscellaneous control),hum_alu_at,18.28464741,8.864809105,10.6309278,16.7026508,4.284274103,8.706008592,12.08648172,16.59402189,11.72786681,8.738319259,12.13826882,12.43734052,8.53613233,9.920649499,7.69546083,6.99142864,10.03573403,17.47863297,19.90247074,18.52606803,7.820583818,7.276320116,14.93915295,7.432597487,12.13597519,15.67657883,21.44195902,11.64794783,14.72461739,9.432737317,15.75051236,6.013024869,15.12205375,14.61284237,4
19,AFFX-DapX-5_at (endogenous control),AFFX-DapX-5_at,-0.212301779,-0.21991272,-0.236714192,-0.201925458,-0.316479706,-0.172478545,-0.211811127,-0.21997744,-0.573023247,-0.550585614,-0.226136591,-0.215944439,-0.272827461,-0.25502344,-0.25892594,-0.312706879,-0.240262336,-0.194998202,-0.190430351,-0.179019965,-0.266145844,-0.296391959,-0.218947232,-0.262186561,-0.276140213,-0.245945295,-0.250336836,-0.243583527,-0.210331229,-0.234761473,-0.225947814,-0.290010082,-0.219286404,-0.291440334,1
20,AFFX-DapX-M_at (endogenous control),AFFX-DapX-M_at,-0.064756291,-0.169579447,-0.224517063,-0.163348338,-0.231151414,-0.135476283,-0.226692894,-0.114870113,-0.379503972,-0.344568908,-0.194775288,-0.225255794,-0.216967666,-0.218545268,-0.203024917,-0.254287148,-0.222288538,-0.192944418,-0.220568684,-0.194668606,-0.220920666,-0.221006429,-0.112451923,-0.193058101,-0.201885494,-0.161390749,-0.186354346,-0.163664238,-0.175073841,-0.21611798,-0.185751886,-0.171046979,-0.167132653,-0.21436607,1
21,AFFX-DapX-3_at (endogenous control),AFFX-DapX-3_at,-0.310126459,-0.265039103,-0.259005497,-0.306986552,-0.339042475,-0.302808734,-0.231370021,-0.23385954,-0.245068015,-0.24662654,-0.271483339,-0.267156892,-0.301406891,-0.292804404,-0.303728966,-0.381558705,-0.261998092,-0.227447986,-0.270663482,-0.237797788,-0.240414277,-0.336047889,-0.231807042,-0.310617877,-0.324046484,-0.221728216,-0.193050188,-0.197696854,-0.277603947,-0.267387587,-0.257617333,-0.309301396,-0.328032522,-0.274897565,4
22,AFFX-LysX-5_at (endogenous control),AFFX-LysX-5_at,-0.254746372,-0.216007553,-0.238396555,-0.242144158,-0.320171795,-0.252238976,-0.258582397,-0.211251549,-0.224517295,-0.176547087,-0.231222207,-0.187163887,-0.274126526,-0.262405927,-0.28441023,-0.306030338,-0.241934317,-0.210606959,-0.191244901,-0.17214983,-0.232226961,-0.299533022,-0.216536017,-0.277502447,-0.239012854,-0.178630025,-0.235457187,-0.204962244,-0.242346559,-0.224592295,-0.199556548,-0.282373937,-0.244068682,-0.21248621,1
23,AFFX-LysX-M_at (endogenous control),AFFX-LysX-M_at,-0.308509523,-0.193878269,-0.260267269,-0.347615647,-0.316069474,-0.358312126,-0.284093999,-0.260433846,-0.955352258,-0.504147422,-0.2901306,-0.302286095,-0.28018883,-0.267182831,-0.320170443,-0.370709326,-0.251548209,-0.263183824,-0.309354586,-0.223294169,-0.266535716,-0.409470254,-0.296909835,-0.328003478,-0.324445703,-0.235273362,-0.302043615,-0.252378473,-0.280035491,-0.203406507,-0.260053449,-0.406963673,-0.313976901,-0.303471438,4
24,AFFX-LysX-3_at (endogenous control),AFFX-LysX-3_at,-0.236960067,-0.098852521,-0.233349467,-0.206439802,-0.246740237,-0.265395336,-0.229244055,-0.17793451,-1.365510369,-0.807684331,-0.274026147,-0.242185531,-0.216967666,-0.218979532,-0.231797502,-0.259294553,-0.226050496,-0.190890634,-0.185135779,-0.193523584,-0.236905427,-0.180957866,-0.159872475,-0.198853302,-0.214261281,-0.176167271,-0.206813863,-0.214139578,-0.219652148,-0.065698885,-0.201586646,-0.278354913,-0.184147352,-0.193311637,7
25,AFFX-PheX-5_at (endogenous control),AFFX-PheX-5_at,-0.288702046,-0.26200175,-0.275829123,-0.229011521,-0.357092691,-0.322543273,-0.276865711,-0.256864163,-0.316139253,-0.311640009,-0.285892586,-0.254036346,-0.271095375,-0.298449836,-0.300029633,-0.352766123,-0.276209932,-0.24593204,-0.224641432,-0.22062245,-0.2653661,-0.357642702,-0.256722926,-0.259702904,-0.289713657,-0.227064183,-0.182634434,-0.222169746,-0.258151595,-0.317809762,-0.212955191,-0.373605776,-0.272919693,-0.285424781,3
26,AFFX-PheX-M_at (endogenous control),AFFX-PheX-M_at,-0.236151598,-0.330559139,-0.304429288,-0.237219419,-0.341914101,-0.331999407,-0.298550573,-0.313979088,-0.337118113,-0.298975047,-0.218084364,-0.250227155,-0.31656265,-0.324505673,-0.342777475,-0.374882164,-0.30923156,-0.231555554,-0.225455982,-0.22520254,-0.270044566,-0.376881717,-0.261545355,-0.300269305,-0.331631643,-0.205309858,-0.238805108,-0.282969588,-0.273146117,-0.278404197,-0.283196559,-0.354314462,-0.301030935,-0.302719494,4
27,AFFX-PheX-3_at (endogenous control),AFFX-PheX-3_at,-0.188856195,-0.250286247,-0.263631994,-0.229832311,-0.334119689,-0.202491491,-0.269212231,-0.2283067,-0.183415856,-0.04187633,-0.159599773,-0.227372011,-0.239484793,-0.29454146,-0.307839335,-0.292259973,-0.245696275,-0.231555554,-0.22952873,-0.211843944,-0.229887727,-0.309348847,-0.251096759,-0.256805304,-0.318457419,-0.222549134,-0.228389354,-0.233641414,-0.241536044,-0.279251628,-0.189812081,-0.257455989,-0.28512589,-0.264370348,1
28,AFFX-ThrX-5_at (endogenous control),AFFX-ThrX-5_at,-0.218769527,-0.218610998,-0.269520263,-0.245837712,-0.326325278,-0.28348533,-0.244551016,-0.208475129,-0.252774535,-0.242404886,-0.261312106,-0.245994721,-0.273260483,-0.284553389,-0.269201863,-0.308116757,-0.26032611,-0.2282695,-0.222605058,-0.242759552,-0.225989005,-0.316023607,-0.221358446,-0.26922359,-0.310872259,-0.188891499,-0.221693512,-0.194255353,-0.238699243,-0.21908399,-0.217827424,-0.302870958,-0.260713496,-0.285424781,1
29,AFFX-ThrX-M_at (endogenous control),AFFX-ThrX-M_at,-0.25555484,-0.251587969,-0.283399755,-0.19453835,-0.318120635,-0.285952148,-0.25262969,-0.252897849,-0.266046874,-0.256758509,-0.246055256,-0.263770944,-0.272827461,-0.281513541,-0.322225628,-0.32605996,-0.25949012,-0.21676831,-0.254779766,-0.222530821,-0.263026866,-0.288539299,-0.266367784,-0.259702904,-0.236218322,-0.223370052,-0.171102706,-0.194637742,-0.245993875,-0.264421577,-0.202398685,-0.306086177,-0.205230783,-0.284296865,1
30,AFFX-ThrX-3_at (endogenous control),AFFX-ThrX-3_at,-0.316998441,-0.389570562,-0.360788436,-0.229011521,-0.403448926,-0.456984824,-0.311306374,-0.37307717,-0.334121133,-0.334436939,-0.283773579,-0.295937444,-0.358565752,-0.351864302,-0.358807915,-0.421200665,-0.310067551,-0.319868257,-0.397325937,-0.274820183,-0.334763355,-0.394157568,-0.317405159,-0.385541537,-0.356383216,-0.292737617,-0.366398095,-0.271880309,-0.342445121,-0.372469096,-0.285632676,-0.493372684,-0.594719431,-0.466267322,7
31,AFFX-TrpnX-5_at (endogenous control),AFFX-TrpnX-5_at,-0.189664663,-0.244211542,-0.232508285,-0.23311547,-0.295557865,-0.263339654,-0.266661071,-0.215217863,-0.249349415,-0.246204375,-0.241817242,-0.225255794,-0.246846161,-0.287593237,-0.281121934,-0.263884675,-0.242770308,-0.206499391,-0.226677806,-0.198485348,-0.217801688,-0.311704645,-0.199657515,-0.22451776,-0.274942557,-0.202026186,-0.150643189,-0.236700526,-0.224109979,-0.270777313,-0.257617333,-0.284383449,-0.230013061,-0.265122292,7
32,AFFX-TrpnX-M_at (endogenous control),AFFX-TrpnX-M_at,-0.460501587,-0.496311813,-0.396959232,-0.426001072,-0.595847815,-1.795644427,-0.351699743,-0.490480072,-1.514503085,-1.464573664,-0.33293454,-0.435184525,-0.49583362,-0.477800848,-0.503492916,-0.441230287,-0.465561801,-0.391339934,-0.545166681,-0.346574928,-0.461081956,-0.484070518,-0.407021965,-0.436870453,-0.44341294,-0.494272968,-0.375697876,-0.475311226,-0.590057354,-0.52797278,-0.399724148,-0.537180043,-0.716041631,-0.491833419,7
33,AFFX-TrpnX-3_at (endogenous control),AFFX-TrpnX-3_at,-0.513052035,-0.406492955,-0.316626417,-0.323402348,-0.458420037,-0.412993246,-0.320660628,-0.363558016,-1.040552116,-0.871431304,-0.291825805,-0.304402312,-0.354235535,-0.36489222,-0.343599548,-0.386148827,-0.379872765,-0.266469878,-0.340714743,-0.313750949,-0.319168467,-0.34939741,-0.329461231,-0.313515477,-0.304085538,-0.329678924,-0.284932019,-0.299412313,-0.347713466,-0.300437416,-0.312429961,-0.404954161,-0.552552569,-0.367010709,1
34,AFFX-HUMISGF3A/M97935_5_at (endogenous control),AFFX-HUMISGF3A/M97935_5_at,-0.352166818,-0.409964216,-0.318308779,-0.314784055,-0.47770095,-0.394492115,-0.307479634,-0.371094013,-0.966055758,-0.887895754,-0.2901306,-0.290858523,-0.322624953,-0.382262778,-0.350176139,-0.319800703,-0.32260741,-0.309599338,-0.377369473,-0.295048914,-0.336712717,-0.334477357,-0.333479922,-0.28950679,-0.3328293,-0.324753416,-0.289395913,-0.342239874,-0.320561225,-0.330521235,-0.330700837,-0.434293034,-0.60396655,-0.347084192,1
35,AFFX-HUMISGF3A/M97935_MA_at (endogenous control),AFFX-HUMISGF3A/M97935_MA_at,-0.314168802,-0.48459631,-0.30611165,-0.215058095,-0.487546522,-0.352967355,-0.26410991,-0.347296128,-0.952783418,-0.800085354,-0.175280424,-0.269696352,-0.29577761,-0.403975976,-0.763268259,-0.057329197,-0.264924059,-0.341227609,-0.308540036,-0.256499823,-0.31449,-0.250061268,-0.234218257,-0.210857645,-0.201885494,-0.322290663,-0.190818241,-0.303618591,-0.346092437,-0.321623204,-0.239752476,-0.376419092,-0.485603428,-0.342572528,1
36,AFFX-HUMISGF3A/M97935_MB_at (endogenous control),AFFX-HUMISGF3A/M97935_MB_at,-0.180771511,-0.187369656,-0.172363821,-0.153088465,-0.286122525,-0.21235876,-0.234346375,-0.235842697,-0.173568637,-0.191322875,-0.15875217,-0.158383336,-0.190120323,-0.258931816,-0.226042985,-0.067761292,-0.154991296,-0.242645986,-0.201834045,-0.175203223,-0.225599133,-0.15111776,-0.173134155,-0.195955701,-0.183122205,-0.217623627,-0.128695708,-0.20610941,-0.205873399,-0.225016011,-0.191030139,-0.218873361,-0.346156875,-0.209854406,7
37,AFFX-HUMISGF3A/M97935_3_at (endogenous control),AFFX-HUMISGF3A/M97935_3_at,-0.127412594,-0.067177272,-0.030204179,0.365240291,-0.041624151,0.020755489,-0.170142177,-0.092262122,-0.090081339,-0.079871215,-0.098148572,-0.099129258,-0.008251222,-0.129955422,-0.016825185,0.320312636,0.150145271,-0.162137661,0.041716272,-0.146959334,-0.134758905,0.021640746,-0.106825756,-0.070944954,0.035250543,-0.074373448,0.004477148,-0.070361336,-0.092401344,-0.123747944,-0.091149349,-0.028371635,-0.077620542,0.241312015,4
38,AFFX-HUMRGE/M10098_5_at (endogenous control),AFFX-HUMRGE/M10098_5_at,-0.212301779,-0.304958595,-0.277090895,-0.243785738,0.287792283,3.991098174,-0.196078972,-0.101781276,-0.132039058,-0.272378628,-0.108743607,3.325756408,-0.259836811,-0.254589176,-0.288931636,-0.288504419,-0.207240708,-0.300151933,-0.224641432,-0.224439192,-0.219361177,0.259968958,0.538174133,-0.357807364,-0.308476946,-0.250049885,-0.273400291,-0.238612471,-0.258151595,-0.191542466,0.015633771,1.21953524,-0.312867247,-0.239556195,1
39,AFFX-HUMRGE/M10098_M_at (endogenous control),AFFX-HUMRGE/M10098_M_at,-0.331550873,-0.360932665,-0.397379823,-0.313963265,-0.04900833,2.231023923,-0.217763834,-0.248138272,-0.204822856,-0.32430497,-0.213422549,1.576914642,-0.310933368,-0.35056151,-0.344832659,-0.331067366,-0.26743203,-0.395447501,-0.370038527,-0.298865656,-0.3074723,-0.010162524,-0.146208926,-0.544909543,-0.385126978,-0.311208271,-0.399877305,-0.317384593,-0.414580927,-0.302979711,-0.021314,0.577295244,-0.529619714,-0.275649509,7
40,AFFX-HUMRGE/M10098_3_at (endogenous control),AFFX-HUMRGE/M10098_3_at,-0.37157006,-0.39000447,-0.385603285,-0.332020641,-0.159771016,1.317479195,-0.286645159,-0.295734042,-0.118766718,-0.218763625,-0.093486757,2.671845341,-0.315696606,-0.362720901,-0.322225628,-0.31062046,-0.374856822,-0.38928615,-0.4205406,-0.373673794,-0.311760894,0.143356967,-0.033283712,-0.337938107,-0.389917605,-0.297252666,-0.377929823,-0.300559479,-0.334339974,-0.184763014,-0.162608776,0.14002546,-0.562539457,-0.368138625,1
41,AFFX-HUMGAPDH/M33197_5_at (endogenous control),AFFX-HUMGAPDH/M33197_5_at,2.327097556,4.438084547,6.239540751,2.948265781,5.697523936,3.902292745,4.084342618,4.729982733,8.511251061,6.851662172,8.112579461,4.764360755,2.492881932,3.058844783,8.550417655,9.043630336,4.417459252,4.954659316,3.347158357,3.555280169,7.962107435,7.172665012,8.074425167,9.519283505,4.306892976,6.066503108,4.373885988,5.551903295,5.470971371,4.105359061,2.499660896,4.5123214,2.851126959,2.33547615,1
42,AFFX-HUMGAPDH/M33197_M_at (endogenous control),AFFX-HUMGAPDH/M33197_M_at,1.866270551,4.199869317,5.779414572,3.696005286,4.070953374,3.916271378,7.112994946,6.148733337,8.906424272,6.023795861,7.992219868,5.286643122,2.30798168,3.28813615,6.110502408,5.482947727,5.44321971,5.707576459,3.015636689,4.506793889,5.884478355,5.31315527,8.142341043,5.53342759,5.999181973,8.099506355,5.359290723,6.959476994,5.747762132,6.106568598,3.688485908,4.413453416,1.746281192,3.401356819,1
43,AFFX-HUMGAPDH/M33197_3_at (endogenous control),AFFX-HUMGAPDH/M33197_3_at,3.42095534,8.986303211,7.2052169,6.431697678,6.773152691,7.602107783,9.101624307,7.481414922,9.01174671,7.150133096,9.031804665,8.044073932,2.986526634,4.958749576,7.902212409,7.288534701,5.964877839,8.81864817,4.693608767,6.657909542,8.582784015,8.133045254,9.947135123,7.652815095,7.663924865,9.479058932,5.828371648,8.055786094,7.140631597,8.279383017,6.851783608,6.979600082,7.599337578,7.059940518,4
44,AFFX-HSAC07/X00351_5_at (endogenous control),AFFX-HSAC07/X00351_5_at,7.663797655,4.048001683,6.207575861,2.578089583,4.465186491,6.89577572,3.969965603,5.055220501,8.494125462,4.319092053,6.09274206,6.180533202,7.067322833,4.104118117,5.139633167,6.520732521,7.688690442,6.584131388,3.082837027,4.440764256,1.049283038,6.224849025,4.802005171,6.964842042,9.151813775,5.961015154,10.0701875,9.168537919,9.337531619,3.228267437,3.954022642,6.191871426,3.420749484,3.996520522,4
45,AFFX-HSAC07/X00351_M_at (endogenous control),AFFX-HSAC07/X00351_M_at,10.98943254,5.529361969,8.491803721,4.898051943,5.737726689,9.593651738,7.318788534,6.429945017,10.49824875,6.285960562,8.258367138,8.545617372,8.722764669,6.672355133,7.680663501,7.639470371,11.0602405,10.44729873,5.168898431,5.089992029,2.24891987,7.113770067,5.803864811,8.799022908,12.32201121,8.531309185,16.105745,12.62609874,12.43369767,6.786632393,6.116888365,8.748372435,4.068787578,7.735938205,1
46,AFFX-HSAC07/X00351_3_at (endogenous control),AFFX-HSAC07/X00351_3_at,9.659097737,7.438555074,8.227672788,7.278342353,5.969507866,8.635293159,8.448102108,5.546250204,9.318294942,7.11509337,5.936359349,7.719022994,7.557503361,7.694612478,6.533870451,6.626305321,9.229003109,7.957291241,6.042502827,4.073212025,6.380005951,5.489447474,4.368790293,5.553710791,10.48001512,6.624727299,15.32828336,9.506952133,11.44122245,8.375142779,5.763651425,6.681388519,9.958832439,12.11638818,4
47,AFFX-HUMTFRR/M11507_5_at (endogenous control),AFFX-HUMTFRR/M11507_5_at,-0.175112232,-0.134432938,-0.044924852,-0.132158325,-0.219254681,-0.096829477,-0.172693337,0.044972351,-0.176993757,-0.164726456,-0.202403713,-0.154997388,-0.171500391,-0.167736386,-0.202202843,-0.228415553,-0.139943465,-0.155976309,-0.100015351,-0.168333088,-0.179204338,-0.125596617,-0.042124832,-0.113995013,-0.195497992,-0.147024685,-0.125347787,-0.134220289,-0.108206381,-0.144510016,-0.17519538,-0.171046979,-0.096854549,-0.123756814,4
48,AFFX-HUMTFRR/M11507_M_at (endogenous control),AFFX-HUMTFRR/M11507_M_at,-0.22766268,-0.232496038,-0.086142737,-0.19535914,-0.310736456,-0.344333494,-0.278566485,-0.03594046,-0.256627795,-0.269845636,-0.237155427,-0.2184839,-0.230824359,-0.29671278,-0.32058148,-0.315210582,-0.213092642,-0.250861121,-0.217310486,-0.235889417,-0.263026866,-0.093400714,-0.096377159,-0.197611473,-0.295302722,-0.20859353,-0.22727338,-0.229052747,-0.272335602,-0.196203339,-0.167074991,-0.285991058,-0.274769117,-0.2609866,1
49,AFFX-HUMTFRR/M11507_3_at (endogenous control),AFFX-HUMTFRR/M11507_3_at,-0.142773495,-0.255493137,0.107328966,-0.147753331,-0.21720352,-0.19056854,-0.20585842,0.091774859,-0.196688196,-0.186256891,-0.166380595,-0.165578474,-0.116939661,-0.173381817,-0.242073425,-0.213393336,-0.066794288,-0.110793066,-0.121193639,-0.208790551,-0.220530794,0.093885213,0.079239633,0.030884992,-0.180726892,-0.165495338,-0.026398123,-0.139573734,-0.111853697,-0.171204109,-0.145149939,-0.206414388,-0.166022999,-0.294824082,7
